countryName;region
Austria;Western
Belgium;Western
Bulgaria;Eastern
Croatia;Southern
Cyprus;Southern
Czechia;Eastern
Denmark;Northern
Estonia;Northern
Finland;Northern
France;Western
Germany;Western
Greece;Southern
Hungary;Eastern
Iceland;Northern
Ireland;Northern
Italy;Southern
Latvia;Northern
Lithuania;Northern
Luxembourg;Western
Malta;Southern
Netherlands;Western
Norway;Northern
Poland;Eastern
Portugal;Southern
Romania;Eastern
Serbia;Southern
Slovakia;Eastern
Slovenia;Southern
Spain;Southern
Sweden;Northern
Switzerland;Western
United Kingdom;Northern
